@relation traffic_analysis
 
@attribute numPackSent numeric
@attribute numPackRec numeric
@attribute totalPackets numeric
@attribute numberAck numeric
@attribute headerBytesSent numeric
@attribute headerBytesRec numeric
@attribute totalHeaderBytes numeric
@attribute caplenSent numeric
@attribute caplenRec numeric
@attribute minPackLength numeric
@attribute maxPackLength numeric
@attribute avPackLength numeric
@attribute avPayload numeric
@attribute payloadSent numeric
@attribute payloadRec numeric
@attribute totalPayload numeric
@attribute totalSize numeric
@attribute class {TOR,SSH,SSLWEB,SSLp2p,SCP,SKYPE}
 
@data
35,36,71,70,1128,1160,2288,3914,6980,346,1794,433.0,87.0,1596,4596,6192,30774,SSH
36,36,72,71,1160,1160,2320,3948,5204,346,1042,407.0,60.0,1564,2820,4384,29312,SSH
808,1165,1973,1973,25856,51224,77080,2534984,91746,346,7506,1611.0,1258.0,2481656,912,2482568,3179170,SCP
1066,1060,2126,38,8816,8696,17512,123635,129837,334,915,432.0,76.0,78575,85025,163600,918480,SKYPE
172,134,306,303,3556,2680,6236,16897,9255,334,814,384.0,29.0,7493,1540,9033,117624,TOR
1111,1104,2215,33,9116,9000,18116,131415,166977,334,783,447.0,92.0,84505,120370,204875,990336,SKYPE
1072,1069,2141,25,8732,8696,17428,129826,146466,334,630,441.0,86.0,84626,101358,185984,946268,SKYPE
729,1109,1838,1838,23328,45944,69272,2555546,84562,346,7506,1716.0,1364.0,2507432,912,2508344,3154748,SCP
20,20,40,40,640,640,1280,1912,2376,346,554,387.0,41.0,592,1056,1648,15488,SSH
34,35,69,68,1096,1128,2224,3688,7938,346,1794,448.0,102.0,1436,5620,7056,30946,SSH
1084,1088,2172,83,9104,9296,18400,131677,206051,334,1858,467.0,112.0,85697,159665,245362,1016416,SKYPE
1428,888,2316,2304,30412,21480,51892,1100667,60462,334,1814,801.0,443.0,1021703,5364,1027067,1856329,SSLp2p
33,33,66,65,1064,1064,2128,3718,6310,346,1418,431.0,85.0,1532,4124,5656,28508,SSH
1087,1074,2161,28,8864,8760,17624,159457,141526,334,1648,452.0,97.0,113535,96165,209700,977327,SKYPE
11,12,23,23,232,240,472,1406,1106,334,739,410.0,53.0,800,422,1222,9432,TOR
112,108,220,218,2392,2300,4692,10052,9811,334,1463,388.0,33.0,3852,3570,7422,85527,TOR
33,34,67,66,1064,1096,2160,3670,4696,346,1042,404.0,58.0,1484,2444,3928,27126,SSH
728,571,1299,1264,15500,13396,28896,453852,49215,334,1814,684.0,329.0,413600,14510,428110,889411,SSLp2p
42,42,84,83,1352,1352,2704,4344,15288,346,1794,513.0,167.0,1564,12508,14072,43152,SSH
1071,1070,2141,37,8820,8788,17608,146923,149837,334,915,451.0,96.0,101669,104587,206256,966416,SKYPE
75,81,156,154,1692,1872,3564,6453,5830,334,817,377.0,20.0,2211,1036,3247,58939,TOR
757,1117,1874,1874,24224,47372,71596,2558826,86310,346,7506,1691.0,1339.0,2508864,960,2509824,3169856,SCP
35,32,67,66,972,852,1824,3667,2662,334,820,392.0,32.0,1505,670,2175,26273,TOR
176,190,366,349,4036,4456,8492,51496,27425,334,1814,510.0,157.0,41476,16064,57540,186777,SSLp2p
693,1086,1779,1779,22176,44504,66680,2553170,82340,346,7506,1761.0,1409.0,2507432,912,2508344,3133630,SCP
35,35,70,69,1128,1128,2256,3850,8842,346,1794,461.0,115.0,1532,6524,8056,32292,SSH
1132,1199,2331,284,10400,11872,22272,140958,359090,334,1858,525.0,170.0,92070,306284,398354,1225464,SKYPE
25,25,50,50,800,800,1600,2370,6450,346,1794,456.0,110.0,720,4800,5520,22820,SSH
37,38,75,73,960,1072,2032,3439,2997,334,816,382.0,24.0,1221,596,1817,28716,TOR
1284,868,2152,2125,27948,22128,50076,990121,70613,334,1814,791.0,434.0,918517,16153,934670,1704030,SSLp2p
99,104,203,200,2064,2140,4204,8050,7660,334,892,376.0,21.0,2620,1728,4348,76358,TOR
47,47,94,92,1520,1520,3040,5446,12718,346,1794,473.0,126.0,2328,9600,11928,44484,SSH
619,398,1017,1000,13324,8628,21952,420994,33774,334,1814,746.0,389.0,386624,9908,396532,758920,SSLp2p
20,20,40,40,640,640,1280,1928,2472,346,554,390.0,44.0,608,1152,1760,15600,SSH
33,35,68,67,1064,1128,2192,3702,6482,346,1418,429.0,83.0,1516,4164,5680,29224,SSH
35,35,70,69,1128,1128,2256,3882,5074,346,1042,407.0,61.0,1564,2756,4320,28556,SSH
1079,1068,2147,37,8884,8764,17648,149015,150851,334,1828,452.0,97.0,103405,105715,209120,971170,SKYPE
714,584,1298,1266,15140,13200,28340,421891,46305,334,1814,658.0,303.0,382475,11404,393879,855060,SSLp2p
33,33,66,65,1064,1064,2128,3622,6838,346,1794,438.0,92.0,1436,4652,6088,28940,SSH
